category,country,first_issuance_at,first_retirement_at,is_compliance,issued,listed_at,name,project_id,project_type,project_type_source,project_url,proponent,protocol,registry,retired,status
forest,Mexico,2022-07-21 00:00:00+00:00,2022-08-04 00:00:00+00:00,FALSE,80221,2021-03-10 00:00:00+00:00,"Carbono, Agua y Biodiversidad IndÃ­gena PeÃ±oles",CAR1463,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1463,COMUNIDAD DE SANTA MARIA PEÃ‘OLES,['car-forest-mx'],climate-action-reserve,74009,registered
forest,Mexico,2023-08-30 00:00:00+00:00,2023-10-05 00:00:00+00:00,FALSE,88239,2021-03-10 00:00:00+00:00,"Carbono, Agua y Biodiversidad IndÃ­gena San BartolomÃ©",CAR1464,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1464,COMUNIDAD DE SAN BARTOLOME LOXICHA,['car-forest-mx'],climate-action-reserve,81242,registered
forest,Mexico,2022-07-05 00:00:00+00:00,2023-01-09 00:00:00+00:00,FALSE,32378,2021-05-06 00:00:00+00:00,Pueblos Mancomunados de Oaxaca,CAR1465,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1465,Comunidad Agraria Pueblos Mancomunados,['car-forest-mx'],climate-action-reserve,29873,registered
forest,Mexico,2023-02-18 00:00:00+00:00,2024-05-09 00:00:00+00:00,FALSE,10492,2021-12-30 00:00:00+00:00,"CAPTURA DE CARBONO EN EL BOSQUE DE LA SOCIEDAD DE SOLIDARIDAD SOCIAL PIEDRA CANTEADA, NANACAMILPA  DE MARIANO  ARISTA, TLAXCALA,MEXICO",CAR1486,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1486,PIEDRA CANTEADA SOCIEDAD DE SOLIDARIDAD SOCIAL,['car-forest-mx'],climate-action-reserve,1665,registered
forest,Mexico,2022-05-06 00:00:00+00:00,2023-12-19 00:00:00+00:00,FALSE,119041,2021-07-14 00:00:00+00:00,Ejido Topia,CAR1494,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1494,Ejido Topia,['car-forest-mx'],climate-action-reserve,37838,registered
forest,Mexico,2022-05-06 00:00:00+00:00,2025-05-15 00:00:00+00:00,FALSE,138783,2021-07-14 00:00:00+00:00,Ejido Valle de Topia,CAR1495,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1495,Ejido Valle de Topia,['car-forest-mx'],climate-action-reserve,3000,registered
forest,Mexico,2022-05-06 00:00:00+00:00,,FALSE,91031,2021-07-14 00:00:00+00:00,Comunidad Rio y Papudos,CAR1496,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1496,COMUNIDAD RIO Y PAPUDOS,['car-forest-mx'],climate-action-reserve,0,registered
forest,Mexico,2022-05-06 00:00:00+00:00,2023-12-19 00:00:00+00:00,FALSE,263148,2021-07-14 00:00:00+00:00,Ejido Salto de Camellones,CAR1497,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1497,Ejido El Salto de Camellones,['car-forest-mx'],climate-action-reserve,24195,registered
forest,Mexico,2022-05-18 00:00:00+00:00,2024-02-23 00:00:00+00:00,FALSE,8965,2021-07-01 00:00:00+00:00,Ejido Las Vigas,CAR1499,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1499,EJIDO LAS VIGAS,['car-forest-mx'],climate-action-reserve,2819,registered
forest,Mexico,2022-05-18 00:00:00+00:00,,FALSE,1816,2021-07-01 00:00:00+00:00,Ejido Tonalaco,CAR1500,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1500,EJIDO TONALACO,['car-forest-mx'],climate-action-reserve,0,registered
